"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description"
"ERJ-6ENF9102V","Panasonic Electronic Components","P91.0KCCT-ND","","","Cut Tape (CT)","Active","20","0.08100","$1.62","50656","11 Weeks","RES SMD 91K OHM 1% 1/8W 0805"
"ERJ-6ENF2203V","Panasonic Electronic Components","P220KCCT-ND","","","Cut Tape (CT)","Active","20","0.08100","$1.62","312371","11 Weeks","RES SMD 220K OHM 1% 1/8W 0805"
"ERJ-6ENF2743V","Panasonic Electronic Components","P274KCCT-ND","","","Cut Tape (CT)","Active","10","0.09900","$0.99","73439","11 Weeks","RES SMD 274K OHM 1% 1/8W 0805"
"ERJ-6ENF1004V","Panasonic Electronic Components","P1.00MCCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","275128","11 Weeks","RES SMD 1M OHM 1% 1/8W 0805"
"ERJ-6ENF4992V","Panasonic Electronic Components","P49.9KCCT-ND","","","Cut Tape (CT)","Active","20","0.08100","$1.62","346807","11 Weeks","RES SMD 49.9K OHM 1% 1/8W 0805"
"P160KNP-0EC15A100K","TT Electronics/BI","987-1717-ND","","","Tray","Active","8","0.79000","$6.32","1273","9 Weeks","POT 100K OHM 1/10W PLASTIC LOG"
"P160KNP-0QD20B10K","TT Electronics/BI","987-1662-ND","","","Tray","Active","8","0.79000","$6.32","1277","9 Weeks","POT 10K OHM 1/5W PLASTIC LINEAR"
"P160KNP-0EC15A25K","TT Electronics/BI","987-1721-ND","","","Tray","Active","4","0.79000","$3.16","425","9 Weeks","POT 25K OHM 1/10W PLASTIC LOG"
"ERJ-6ENF2201V","Panasonic Electronic Components","P2.20KCCT-ND","","","Cut Tape (CT)","Active","10","0.08000","$0.80","238068","11 Weeks","RES SMD 2.2K OHM 1% 1/8W 0805"
"ERJ-6ENF1001V","Panasonic Electronic Components","P1.00KCCT-ND","","","Cut Tape (CT)","Active","30","0.08100","$2.43","1311259","11 Weeks","RES SMD 1K OHM 1% 1/8W 0805"
"ERJ-6ENF1002V","Panasonic Electronic Components","P10.0KCCT-ND","","","Cut Tape (CT)","Active","25","0.07700","$1.92","2243302","11 Weeks","RES SMD 10K OHM 1% 1/8W 0805"
"ERJ-6ENF4703V","Panasonic Electronic Components","P470KCCT-ND","","","Cut Tape (CT)","Active","10","0.08100","$0.81","128584","11 Weeks","RES SMD 470K OHM 1% 1/8W 0805"
"P160KNP-0EC15A500K","TT Electronics/BI","987-1722-ND","","","Tray","Active","4","0.79000","$3.16","1139","9 Weeks","POT 500K OHM 1/10W PLASTIC LOG"
"3002","Adafruit Industries LLC","1528-2039-ND","","","Bulk","Active","4","0.63000","$2.52","394","12 Weeks","SHORT FEATHER MALE HEADERS - 12-"
"ERJ-6ENF1502V","Panasonic Electronic Components","P15.0KCCT-ND","","","Cut Tape (CT)","Active","10","0.07700","$0.77","293541","11 Weeks","RES SMD 15K OHM 1% 1/8W 0805"
"DCWN03A-15","MEAN WELL USA Inc.","1866-1277-ND","","","Tube","Active","4","8.83000","$35.32","55","14 Weeks","DC DC CONVERTER +/-15V 3W"
"PJ-202A","CUI Devices","CP-202A-ND","","","Bag","Active","4","0.60000","$2.40","13054","11 Weeks","CONN PWR JACK 2X5.5MM KINKED PIN"
"RS-187R05A2-DS MT RT","C&K","CKN10361CT-ND","","","Cut Tape (CT)","Active","4","0.53000","$2.12","6537","7 Weeks","SWITCH TACTILE SPST-NO 0.05A 12V"
"1003P1T1B1M2QEH","E-Switch","EG2425-ND","","","Bulk","Active","4","5.72000","$22.88","121","10 Weeks","SWITCH TOGGLE 3PDT 5A 120V"
"DILB8P-223TLF","Amphenol ICC (FCI)","609-4717-ND","","","Tube","Active","8","0.16000","$1.28","24","11 Weeks","CONN IC DIP SOCKET 8POS TIN"
"DILB16P-223TLF","Amphenol ICC (FCI)","609-4713-ND","","","Tube","Active","4","0.30000","$1.20","2718","11 Weeks","CONN IC DIP SOCKET 16POS TIN"
"M20-9990246","Harwin Inc.","952-2262-ND","","","Bulk","Active","50","0.09900","$4.95","16553","10 Weeks","CONN HEADER VERT 2POS 2.54MM"
